Bar elements
Bar	Elem	Node 1	Node 2
B.1.1	1	1	2
	2	2	3
B.2.1	3	1	4
	4	4	6
B.3.1	5	6	9
	6	9	11
B.4.1	7	11	14
	8	14	16
B.5.1	9	16	19
	10	19	21
B.6.1	11	21	24
	12	24	26
B.7.1	13	6	7
	14	7	8
B.8.1	15	3	5
	16	5	8
B.9.1	17	8	10
	18	10	13
B.10.1	19	13	15
	20	15	18
B.11.1	21	18	20
	22	20	23
B.12.1	23	23	25
	24	25	28
B.13.1	25	11	12
	26	12	13
B.14.1	27	16	17
	28	17	18
B.15.1	29	21	22
	30	22	23
B.16.1	31	26	27
	32	27	28

