in:Length,in:Height,in:Division,in:Truss type,out:Translation,out:TotalWeight,out:Frequency,img
14,1,9,BROWN,19.747,495.742,30.454,14_1_9_BROWN.png
15,1,9,BROWN,22.573,554.584,26.941,15_1_9_BROWN.png
16,1,9,BROWN,25.835,616.634,23.958,16_1_9_BROWN.png
17,1,9,BROWN,27.749,723.186,21.409,17_1_9_BROWN.png
18,1,9,BROWN,32.403,765.943,19.284,18_1_9_BROWN.png
19,1,9,BROWN,34.455,890.907,17.381,19_1_9_BROWN.png
20,1,9,BROWN,38.512,965.132,15.834,20_1_9_BROWN.png
21,1,9,BROWN,42.406,1054.962,14.451,21_1_9_BROWN.png
22,1,9,BROWN,46.757,1154.359,13.205,22_1_9_BROWN.png
23,1,9,BROWN,49.342,1291.619,12.187,23_1_9_BROWN.png
24,1,9,BROWN,53.472,1434.688,11.149,24_1_9_BROWN.png
25,1,9,BROWN,58.447,1532.688,10.34,25_1_9_BROWN.png
10,2,9,BROWN,6.914,265.658,68.915,10_2_9_BROWN.png
11,2,9,BROWN,7.879,287.524,62.108,11_2_9_BROWN.png
12,2,9,BROWN,9.04,309.504,55.884,12_2_9_BROWN.png
13,2,9,BROWN,10.185,335.742,50.602,13_2_9_BROWN.png
14,2,9,BROWN,11.383,370.474,45.665,14_2_9_BROWN.png
15,2,9,BROWN,12.572,404.584,41.579,15_2_9_BROWN.png
16,2,9,BROWN,13.518,455.989,37.899,16_2_9_BROWN.png
17,2,9,BROWN,15.188,489.952,34.498,17_2_9_BROWN.png
18,2,9,BROWN,16.218,550.279,31.624,18_2_9_BROWN.png
19,2,9,BROWN,18.546,573.303,28.995,19_2_9_BROWN.png
20,2,9,BROWN,18.998,664.82,26.656,20_2_9_BROWN.png
21,2,9,BROWN,20.895,714.985,24.521,21_2_9_BROWN.png
22,2,9,BROWN,21.69,805.626,22.716,22_2_9_BROWN.png
23,2,9,BROWN,23.904,848.279,21.178,23_2_9_BROWN.png
24,2,9,BROWN,26.783,879.049,19.671,24_2_9_BROWN.png
25,2,9,BROWN,28.129,964.266,18.372,25_2_9_BROWN.png
10,3,9,BROWN,6.007,346.918,64.381,10_3_9_BROWN.png
11,3,9,BROWN,6.649,358.386,60.182,11_3_9_BROWN.png
12,3,9,BROWN,7.305,374.936,56.107,12_3_9_BROWN.png
13,3,9,BROWN,7.757,408.682,52.338,13_3_9_BROWN.png
14,3,9,BROWN,8.704,421.888,48.635,14_3_9_BROWN.png
15,3,9,BROWN,9.392,448.435,45.332,15_3_9_BROWN.png
16,3,9,BROWN,10.295,472.975,42.112,16_3_9_BROWN.png
17,3,9,BROWN,11.186,499.529,39.447,17_3_9_BROWN.png
18,3,9,BROWN,12.491,515.806,36.734,18_3_9_BROWN.png
19,3,9,BROWN,12.765,582.071,34.266,19_3_9_BROWN.png
20,3,9,BROWN,13.407,628.947,32.103,20_3_9_BROWN.png
21,3,9,BROWN,13.609,715.912,30.015,21_3_9_BROWN.png
22,3,9,BROWN,15.099,737.889,28.073,22_3_9_BROWN.png
23,3,9,BROWN,16.146,779.168,26.501,23_3_9_BROWN.png
24,3,9,BROWN,17.439,828.598,24.81,24_3_9_BROWN.png
25,3,9,BROWN,18.035,895.896,23.442,25_3_9_BROWN.png
10,4,9,BROWN,6.179,447.67,56.138,10_4_9_BROWN.png
11,4,9,BROWN,6.58,458.247,53.727,11_4_9_BROWN.png
12,4,9,BROWN,7.048,469.041,51.266,12_4_9_BROWN.png
13,4,9,BROWN,7.081,516.248,48.745,13_4_9_BROWN.png
14,4,9,BROWN,7.599,533.447,46.244,14_4_9_BROWN.png
15,4,9,BROWN,8.072,555.052,44.039,15_4_9_BROWN.png
16,4,9,BROWN,8.781,568.114,41.699,16_4_9_BROWN.png
17,4,9,BROWN,8.833,639.092,39.255,17_4_9_BROWN.png
18,4,9,BROWN,9.289,672.075,37.243,18_4_9_BROWN.png
19,4,9,BROWN,9.884,700.317,35.475,19_4_9_BROWN.png
20,4,9,BROWN,10.789,716.99,33.538,20_4_9_BROWN.png
21,4,9,BROWN,10.973,784.671,31.889,21_4_9_BROWN.png
22,4,9,BROWN,11.619,816.848,30.297,22_4_9_BROWN.png
23,4,9,BROWN,12.169,863.106,28.874,23_4_9_BROWN.png
24,4,9,BROWN,12.979,903.025,27.332,24_4_9_BROWN.png
25,4,9,BROWN,14.093,924.697,25.909,25_4_9_BROWN.png
10,5,9,BROWN,5.795,643.164,48.602,10_5_9_BROWN.png
11,5,9,BROWN,6.084,650.393,47.134,11_5_9_BROWN.png
12,5,9,BROWN,6.074,695.009,45.737,12_5_9_BROWN.png
13,5,9,BROWN,6.42,706.234,44.109,13_5_9_BROWN.png
14,5,9,BROWN,6.816,717.711,42.438,14_5_9_BROWN.png
15,5,9,BROWN,7.198,735.437,40.767,15_5_9_BROWN.png
16,5,9,BROWN,7.634,752.486,39.136,16_5_9_BROWN.png
17,5,9,BROWN,8.056,771.019,37.641,17_5_9_BROWN.png
18,5,9,BROWN,8.633,784.459,36.019,18_5_9_BROWN.png
19,5,9,BROWN,9.153,807.097,34.456,19_5_9_BROWN.png
20,5,9,BROWN,9.499,841.949,33.026,20_5_9_BROWN.png
21,5,9,BROWN,9.956,871.305,31.805,21_5_9_BROWN.png
22,5,9,BROWN,10.678,887.761,30.398,22_5_9_BROWN.png
23,5,9,BROWN,11.215,915.29,29.134,23_5_9_BROWN.png
24,5,9,BROWN,11.076,1011.216,27.938,24_5_9_BROWN.png
25,5,9,BROWN,11.486,1059.659,26.878,25_5_9_BROWN.png
10,1,10,BROWN,10.869,305.016,54.517,10_1_10_BROWN.png
11,1,10,BROWN,13.009074,349.928,46.621,11_1_10_BROWN.png
12,1,10,BROWN,14.552045,422.479,40.177,12_1_10_BROWN.png
13,1,10,BROWN,16.813055,481.634,35.064,13_1_10_BROWN.png
14,1,10,BROWN,19.577045,534.739,30.886,14_1_10_BROWN.png
15,1,10,BROWN,22.206076,605.203,27.294,15_1_10_BROWN.png
16,1,10,BROWN,25.150048,674.431,24.367,16_1_10_BROWN.png
17,1,10,BROWN,27.257044,780.951,21.793,17_1_10_BROWN.png
18,1,10,BROWN,30.94906,861.453,19.522,18_1_10_BROWN.png
19,1,10,BROWN,33.92905,954.596,17.736,19_1_10_BROWN.png
20,1,10,BROWN,37.279066,1053.012,16.135,20_1_10_BROWN.png
21,1,10,BROWN,40.858049,1163.865,14.715,21_1_10_BROWN.png
22,1,10,BROWN,44.93805,1262.092,13.504,22_1_10_BROWN.png
23,1,10,BROWN,48.351058,1405.029,12.375,23_1_10_BROWN.png
24,1,10,BROWN,53.114045,1515.036,11.398,24_1_10_BROWN.png
25,1,10,BROWN,56.03704,1678.68,10.567,25_1_10_BROWN.png
10,2,10,BROWN,7.627,287.837,66.564,10_2_10_BROWN.png
11,2,10,BROWN,8.516,313.786,60.321,11_2_10_BROWN.png
12,2,10,BROWN,9.512,340.89,54.78,12_2_10_BROWN.png
13,2,10,BROWN,10.492,376.523,49.697,13_2_10_BROWN.png
14,2,10,BROWN,11.748,405.869,45.301,14_2_10_BROWN.png
15,2,10,BROWN,12.832,450.96,41.197,15_2_10_BROWN.png
16,2,10,BROWN,14.079,491.584,37.689,16_2_10_BROWN.png
17,2,10,BROWN,15.957,516.931,34.517,17_2_10_BROWN.png
18,2,10,BROWN,16.956,580.177,31.69,18_2_10_BROWN.png
19,2,10,BROWN,17.704,664.006,28.979,19_2_10_BROWN.png
20,2,10,BROWN,19.185,720.05,26.811,20_2_10_BROWN.png
21,2,10,BROWN,20.862,777.394,24.746,21_2_10_BROWN.png
22,2,10,BROWN,22.361,843.807,22.998,22_2_10_BROWN.png
23,2,10,BROWN,24.763061,883.898,21.383,23_2_10_BROWN.png
24,2,10,BROWN,26.896071,934.067,19.983,24_2_10_BROWN.png
25,2,10,BROWN,28.01206,1040.665,18.629,25_2_10_BROWN.png
10,3,10,BROWN,6.596,398.948,60.689,10_3_10_BROWN.png
11,3,10,BROWN,7.177,414.362,57.117,11_3_10_BROWN.png
12,3,10,BROWN,7.91,427.107,53.603,12_3_10_BROWN.png
13,3,10,BROWN,8.538,450.042,50.283,13_3_10_BROWN.png
14,3,10,BROWN,9.458,464.053,47.055,14_3_10_BROWN.png
15,3,10,BROWN,10.296,487.655,43.984,15_3_10_BROWN.png
16,3,10,BROWN,11.061,516.122,41.267,16_3_10_BROWN.png
17,3,10,BROWN,12.261,532.272,38.597,17_3_10_BROWN.png
18,3,10,BROWN,12.393,602.035,36.138,18_3_10_BROWN.png
19,3,10,BROWN,13.405,635.621,33.809,19_3_10_BROWN.png
20,3,10,BROWN,13.864,707.049,31.628,20_3_10_BROWN.png
21,3,10,BROWN,14.997,744.382,29.636,21_3_10_BROWN.png
22,3,10,BROWN,16.03,784.149,27.983,22_3_10_BROWN.png
23,3,10,BROWN,17.273,834.132,26.205,23_3_10_BROWN.png
24,3,10,BROWN,18.343,885.37,24.664,24_3_10_BROWN.png
25,3,10,BROWN,19.102,952.828,23.318,25_3_10_BROWN.png
10,4,10,BROWN,6.716,535.142,52.072,10_4_10_BROWN.png
11,4,10,BROWN,7.153,542.405,50.125,11_4_10_BROWN.png
12,4,10,BROWN,7.616,553.936,48.067,12_4_10_BROWN.png
13,4,10,BROWN,7.445,621.932,45.933,13_4_10_BROWN.png
14,4,10,BROWN,7.922,640.23,43.875,14_4_10_BROWN.png
15,4,10,BROWN,8.56,653.555,41.775,15_4_10_BROWN.png
16,4,10,BROWN,9.143,674.684,39.764,16_4_10_BROWN.png
17,4,10,BROWN,9.747,699.561,37.796,17_4_10_BROWN.png
18,4,10,BROWN,10.336,726.486,36.072,18_4_10_BROWN.png
19,4,10,BROWN,10.844,774.643,34.212,19_4_10_BROWN.png
20,4,10,BROWN,11.535,800.635,32.606,20_4_10_BROWN.png
21,4,10,BROWN,12.348,828.471,30.986,21_4_10_BROWN.png
22,4,10,BROWN,12.744,877.979,29.59,22_4_10_BROWN.png
23,4,10,BROWN,13.816,897.587,28.1,23_4_10_BROWN.png
24,4,10,BROWN,14.425,945.355,26.834,24_4_10_BROWN.png
25,4,10,BROWN,15.485,974.647,25.547,25_4_10_BROWN.png
10,5,10,BROWN,6.596,745.89,44.799,10_5_10_BROWN.png
11,5,10,BROWN,6.887,753.073,43.635,11_5_10_BROWN.png
12,5,10,BROWN,7.193,764.484,42.374,12_5_10_BROWN.png
13,5,10,BROWN,7.545,776.135,41.061,13_5_10_BROWN.png
14,5,10,BROWN,7.945,788.006,39.706,14_5_10_BROWN.png
15,5,10,BROWN,8.344,804.488,38.35,15_5_10_BROWN.png
16,5,10,BROWN,8.842,817.112,36.96,16_5_10_BROWN.png
17,5,10,BROWN,9.399,829.937,35.563,17_5_10_BROWN.png
18,5,10,BROWN,9.75,858.689,34.288,18_5_10_BROWN.png
19,5,10,BROWN,10.232,884.672,32.947,19_5_10_BROWN.png
20,5,10,BROWN,10.817,906.873,31.665,20_5_10_BROWN.png
21,5,10,BROWN,11.397,928.525,30.506,21_5_10_BROWN.png
22,5,10,BROWN,11.625,999.701,29.178,22_5_10_BROWN.png
23,5,10,BROWN,12.024145,1038.809,28.129,23_5_10_BROWN.png
24,5,10,BROWN,12.542527,1071.566,27.085,24_5_10_BROWN.png
25,5,10,BROWN,13.124595,1110.411,25.989,25_5_10_BROWN.png
10,1,4,HOWE,10.95,182.918,37.141,10_1_4_HOWE.png
11,1,4,HOWE,13.101,213.082,31.705,11_1_4_HOWE.png
12,1,4,HOWE,15.021,251.737,27.819,12_1_4_HOWE.png
13,1,4,HOWE,16.782,304.033,24.026,13_1_4_HOWE.png
14,1,4,HOWE,19.511,349.883,21.12,14_1_4_HOWE.png
15,1,4,HOWE,21.596,408.279,19.018,15_1_4_HOWE.png
16,1,4,HOWE,23.863,481.863,16.521,16_1_4_HOWE.png
17,1,4,HOWE,27.189,531.965,15.169,17_1_4_HOWE.png
18,1,4,HOWE,29.805,596.883,13.622,18_1_4_HOWE.png
19,1,4,HOWE,33.298,673.048,12.486,19_1_4_HOWE.png
20,1,4,HOWE,35.823,768.5,11.23,20_1_4_HOWE.png
21,1,4,HOWE,40.246,837.554,10.449,21_1_4_HOWE.png
22,1,4,HOWE,43.154,930.353,9.371,22_1_4_HOWE.png
23,1,4,HOWE,47.675,1021.947,8.746,23_1_4_HOWE.png
24,1,4,HOWE,49.850039,1170.452,8.07,24_1_4_HOWE.png
25,1,4,HOWE,55.098,1279.812,7.487,25_1_4_HOWE.png
10,2,4,HOWE,6.705024,159.058,30.567,10_2_4_HOWE.png
11,2,4,HOWE,7.44013,179.397,25.717,11_2_4_HOWE.png
12,2,4,HOWE,8.429361,198.44,23.493,12_2_4_HOWE.png
13,2,4,HOWE,8.974568,243.863,20.011,13_2_4_HOWE.png
14,2,4,HOWE,9.647605,277.861,18.936,14_2_4_HOWE.png
15,2,4,HOWE,11.243684,296.715,17.706,15_2_4_HOWE.png
16,2,4,HOWE,12.444055,333.307,16.202,16_2_4_HOWE.png
17,2,4,HOWE,13.32711,378.441,15.797,17_2_4_HOWE.png
18,2,4,HOWE,15.104246,417.26,14.368,18_2_4_HOWE.png
19,2,4,HOWE,16.035415,474.492,12.601,19_2_4_HOWE.png
20,2,4,HOWE,16.664038,539.173,12.347,20_2_4_HOWE.png
21,2,4,HOWE,18.687135,586.967,11.296,21_2_4_HOWE.png
22,2,4,HOWE,20.316279,649.34,10.881,22_2_4_HOWE.png
23,2,4,HOWE,21.680893,707.771,10.062,23_2_4_HOWE.png
24,2,4,HOWE,23.824564,761.584,9.488,24_2_4_HOWE.png
25,2,4,HOWE,25.150248,863.579,8.814,25_2_4_HOWE.png
10,3,4,HOWE,5.8083,186.017,24.03,10_3_4_HOWE.png
11,3,4,HOWE,6.070451,217.565,23.476,11_3_4_HOWE.png
12,3,4,HOWE,6.765352,228.156,22.089,12_3_4_HOWE.png
13,3,4,HOWE,7.143728,254.434,19.639,13_3_4_HOWE.png
14,3,4,HOWE,7.842903,271.105,18.523,14_3_4_HOWE.png
15,3,4,HOWE,8.75925,304.195,16.382,15_3_4_HOWE.png
16,3,4,HOWE,9.070112,343.229,15.442,16_3_4_HOWE.png
17,3,4,HOWE,9.67234,370.829,13.738,17_3_4_HOWE.png
18,3,4,HOWE,10.463301,410.217,12.951,18_3_4_HOWE.png
19,3,4,HOWE,11.311323,447.684,12.533,19_3_4_HOWE.png
20,3,4,HOWE,12.049101,493.208,11.626,20_3_4_HOWE.png
21,3,4,HOWE,13.48691,528.981,10.628,21_3_4_HOWE.png
22,3,4,HOWE,14.155772,589.96,9.687,22_3_4_HOWE.png
23,3,4,HOWE,14.966326,640.916,9.627,23_3_4_HOWE.png
24,3,4,HOWE,15.658604,712.617,8.844,24_3_4_HOWE.png
25,3,4,HOWE,17.108773,780.462,8.493,25_3_4_HOWE.png
10,4,4,HOWE,5.63522,242.808,21.365,10_4_4_HOWE.png
11,4,4,HOWE,5.791399,263.061,20.791,11_4_4_HOWE.png
12,4,4,HOWE,6.383501,285.915,18.699,12_4_4_HOWE.png
13,4,4,HOWE,6.538104,311.767,17.779,13_4_4_HOWE.png
14,4,4,HOWE,6.708853,333.718,17.398,14_4_4_HOWE.png
15,4,4,HOWE,7.46303,348.942,16.007,15_4_4_HOWE.png
16,4,4,HOWE,7.87441,383.831,14.273,16_4_4_HOWE.png
17,4,4,HOWE,8.663213,418.232,13.288,17_4_4_HOWE.png
18,4,4,HOWE,9.127583,453.671,12.206,18_4_4_HOWE.png
19,4,4,HOWE,10.2268,468.494,11.192,19_4_4_HOWE.png
20,4,4,HOWE,10.125377,516.685,11.462,20_4_4_HOWE.png
21,4,4,HOWE,11.146361,550.191,10.581,21_4_4_HOWE.png
22,4,4,HOWE,11.621826,598.966,9.97,22_4_4_HOWE.png
23,4,4,HOWE,12.845318,650.348,9.107,23_4_4_HOWE.png
24,4,4,HOWE,13.149321,702.608,8.916,24_4_4_HOWE.png
25,4,4,HOWE,14.401405,747.089,8.317,25_4_4_HOWE.png
10,5,4,HOWE,5.548743,314.608,21.612,10_5_4_HOWE.png
11,5,4,HOWE,6.081647,321.885,19.179,11_5_4_HOWE.png
12,5,4,HOWE,6.627852,340.219,17.243,12_5_4_HOWE.png
13,5,4,HOWE,6.938222,369.638,15.546,13_5_4_HOWE.png
14,5,4,HOWE,6.918199,387.156,15.743,14_5_4_HOWE.png
15,5,4,HOWE,7.52345,407.586,14.612,15_5_4_HOWE.png
16,5,4,HOWE,7.972156,435.923,13.114,16_5_4_HOWE.png
17,5,4,HOWE,8.756553,461.202,12.027,17_5_4_HOWE.png
18,5,4,HOWE,9.212634,507.705,11.057,18_5_4_HOWE.png
19,5,4,HOWE,10.113263,528.606,10.431,19_5_4_HOWE.png
20,5,4,HOWE,9.763521,561.369,10.431,20_5_4_HOWE.png
21,5,4,HOWE,10.642529,593.368,10.039,21_5_4_HOWE.png
22,5,4,HOWE,11.490843,647.575,9.458,22_5_4_HOWE.png
23,5,4,HOWE,11.576214,709.339,8.995,23_5_4_HOWE.png
24,5,4,HOWE,12.619464,750.909,8.396,24_5_4_HOWE.png
25,5,4,HOWE,13.227803,805.748,8.113,25_5_4_HOWE.png
10,1,5,HOWE,11.241409,201.88,43.53,10_1_5_HOWE.png
11,1,5,HOWE,13.616513,233.233,36.765,11_1_5_HOWE.png
12,1,5,HOWE,15.348176,281.168,31.91,12_1_5_HOWE.png
13,1,5,HOWE,17.909291,316.773,27.882,13_1_5_HOWE.png
14,1,5,HOWE,20.276327,373.702,24.329,14_1_5_HOWE.png
15,1,5,HOWE,21.728343,453.569,21.568,15_1_5_HOWE.png
16,1,5,HOWE,24.894377,496.479,19.216,16_1_5_HOWE.png
17,1,5,HOWE,28.663281,540.987,17.32,17_1_5_HOWE.png
18,1,5,HOWE,31.190405,616.847,15.624,18_1_5_HOWE.png
19,1,5,HOWE,34.334364,702.72,14.131,19_1_5_HOWE.png
20,1,5,HOWE,36.328266,810.971,12.77,20_1_5_HOWE.png
21,1,5,HOWE,41.705397,851.735,11.775,21_1_5_HOWE.png
22,1,5,HOWE,44.369271,960.621,10.699,22_1_5_HOWE.png
23,1,5,HOWE,47.980128,1075.302,9.862,23_1_5_HOWE.png
24,1,5,HOWE,49.926051,1234.249,9.093,24_1_5_HOWE.png
25,1,5,HOWE,55.707087,1295.067,8.469,25_1_5_HOWE.png
10,2,5,HOWE,7.759,179.401,45.523,10_2_5_HOWE.png
11,2,5,HOWE,8.428,203.175,39.779,11_2_5_HOWE.png
12,2,5,HOWE,9.397001,224.721,36.434,12_2_5_HOWE.png
13,2,5,HOWE,10.156003,257.076,31.303,13_2_5_HOWE.png
14,2,5,HOWE,10.949081,291.109,27.396,14_2_5_HOWE.png
15,2,5,HOWE,12.369089,318.56,25.936,15_2_5_HOWE.png
16,2,5,HOWE,13.418109,359.003,24.522,16_2_5_HOWE.png
17,2,5,HOWE,14.205106,411.419,23.372,17_2_5_HOWE.png
18,2,5,HOWE,16.181123,436.322,21.429,18_2_5_HOWE.png
19,2,5,HOWE,17.045132,490.78,19.361,19_2_5_HOWE.png
20,2,5,HOWE,18.451118,560.347,18.05,20_2_5_HOWE.png
21,2,5,HOWE,19.119121,633.95,17.071,21_2_5_HOWE.png
22,2,5,HOWE,21.510328,664.592,15.942,22_2_5_HOWE.png
23,2,5,HOWE,23.642153,698.804,15.123,23_2_5_HOWE.png
24,2,5,HOWE,25.397679,754.632,13.764,24_2_5_HOWE.png
25,2,5,HOWE,27.155166,820.564,13.19,25_2_5_HOWE.png
10,3,5,HOWE,6.713043,237.158,37.773,10_3_5_HOWE.png
11,3,5,HOWE,7.427007,250.002,33.533,11_3_5_HOWE.png
12,3,5,HOWE,7.795377,267.953,30.402,12_3_5_HOWE.png
13,3,5,HOWE,8.470273,298.284,27.955,13_3_5_HOWE.png
14,3,5,HOWE,9.068,315.207,26.829,14_3_5_HOWE.png
15,3,5,HOWE,9.912001,342.887,24.136,15_3_5_HOWE.png
16,3,5,HOWE,10.319,382.211,21.545,16_3_5_HOWE.png
17,3,5,HOWE,10.755745,415.936,20.06,17_3_5_HOWE.png
18,3,5,HOWE,11.90805,439.865,18.451,18_3_5_HOWE.png
19,3,5,HOWE,12.501003,479.491,17.826,19_3_5_HOWE.png
20,3,5,HOWE,13.301252,532.578,17.944,20_3_5_HOWE.png
21,3,5,HOWE,14.020089,570.668,17.056,21_3_5_HOWE.png
22,3,5,HOWE,15.600108,589.717,15.734,22_3_5_HOWE.png
23,3,5,HOWE,15.7571,677.622,14.107,23_3_5_HOWE.png
24,3,5,HOWE,16.826712,735.788,13.841,24_3_5_HOWE.png
25,3,5,HOWE,18.213468,793.223,13.181,25_3_5_HOWE.png
10,4,5,HOWE,6.840855,315.688,33.191,10_4_5_HOWE.png
11,4,5,HOWE,7.32019,331.107,29.882,11_4_5_HOWE.png
12,4,5,HOWE,7.912397,343.979,27.282,12_4_5_HOWE.png
13,4,5,HOWE,8.125555,363.519,24.677,13_4_5_HOWE.png
14,4,5,HOWE,8.24261,390.105,25.005,14_4_5_HOWE.png
15,4,5,HOWE,9.014691,400.822,22.705,15_4_5_HOWE.png
16,4,5,HOWE,9.777712,419.228,20.744,16_4_5_HOWE.png
17,4,5,HOWE,9.973531,459.39,18.712,17_4_5_HOWE.png
18,4,5,HOWE,10.105956,507.477,17.52,18_4_5_HOWE.png
19,4,5,HOWE,11.08702,521.845,16.152,19_4_5_HOWE.png
20,4,5,HOWE,12.042711,546.424,15.084,20_4_5_HOWE.png
21,4,5,HOWE,12.067,597.466,14.983,21_4_5_HOWE.png
22,4,5,HOWE,12.942634,638.209,14.36,22_4_5_HOWE.png
23,4,5,HOWE,13.279337,678.945,13.882,23_4_5_HOWE.png
24,4,5,HOWE,14.395735,708.941,12.829,24_4_5_HOWE.png
25,4,5,HOWE,15.360942,766.916,11.836,25_4_5_HOWE.png
10,5,5,HOWE,7.373788,433.128,28.809,10_5_5_HOWE.png
11,5,5,HOWE,7.824364,441.192,26.123,11_5_5_HOWE.png
12,5,5,HOWE,7.801035,471.889,23.765,12_5_5_HOWE.png
13,5,5,HOWE,8.361172,481.063,21.634,13_5_5_HOWE.png
14,5,5,HOWE,8.342318,499.443,22.226,14_5_5_HOWE.png
15,5,5,HOWE,8.885523,519.462,20.729,15_5_5_HOWE.png
16,5,5,HOWE,9.052775,543.924,18.767,16_5_5_HOWE.png
17,5,5,HOWE,9.672711,568.492,17.364,17_5_5_HOWE.png
18,5,5,HOWE,9.723438,616.635,15.813,18_5_5_HOWE.png
19,5,5,HOWE,10.419673,643.03,15.097,19_5_5_HOWE.png
20,5,5,HOWE,11.280437,657.018,14.044,20_5_5_HOWE.png
21,5,5,HOWE,11.11079,693.578,14.603,21_5_5_HOWE.png
22,5,5,HOWE,11.958912,717.348,13.594,22_5_5_HOWE.png
23,5,5,HOWE,12.705251,758.162,12.969,23_5_5_HOWE.png
24,5,5,HOWE,12.688028,819.385,12.759,24_5_5_HOWE.png
25,5,5,HOWE,13.620685,849.438,11.926,25_5_5_HOWE.png
10,1,6,HOWE,11.727,223.226,46.355,10_1_6_HOWE.png
11,1,6,HOWE,13.587,262.524,39.711,11_1_6_HOWE.png
12,1,6,HOWE,15.249,313.622,34.382,12_1_6_HOWE.png
13,1,6,HOWE,17.857,355.301,29.826,13_1_6_HOWE.png
14,1,6,HOWE,19.82,414.736,26.296,14_1_6_HOWE.png
15,1,6,HOWE,22.923,464.993,23.232,15_1_6_HOWE.png
16,1,6,HOWE,25.597,520.726,20.72,16_1_6_HOWE.png
17,1,6,HOWE,29.209,578.067,18.604,17_1_6_HOWE.png
18,1,6,HOWE,32.021,644.535,16.807,18_1_6_HOWE.png
19,1,6,HOWE,35.002,727.226,15.228,19_1_6_HOWE.png
20,1,6,HOWE,37.737,822.921,13.83,20_1_6_HOWE.png
21,1,6,HOWE,43.162,863.563,12.7,21_1_6_HOWE.png
22,1,6,HOWE,45.86,970.467,11.587,22_1_6_HOWE.png
23,1,6,HOWE,48.964,1088.58,10.685,23_1_6_HOWE.png
24,1,6,HOWE,51.361,1225.83,9.869,24_1_6_HOWE.png
25,1,6,HOWE,56.904,1302.293,9.144,25_1_6_HOWE.png
10,2,6,HOWE,8.572,217.033,50.841,10_2_6_HOWE.png
11,2,6,HOWE,9.445,235.934,47.003,11_2_6_HOWE.png
12,2,6,HOWE,10.462,257.154,40.879,12_2_6_HOWE.png
13,2,6,HOWE,11.289,290.844,38.003,13_2_6_HOWE.png
14,2,6,HOWE,12.085,320.973,34.726,14_2_6_HOWE.png
15,2,6,HOWE,13.66,343.449,31.503,15_2_6_HOWE.png
16,2,6,HOWE,14.839,379.197,29.359,16_2_6_HOWE.png
17,2,6,HOWE,15.529,431.873,27.246,17_2_6_HOWE.png
18,2,6,HOWE,17.499,456.486,25.021,18_2_6_HOWE.png
19,2,6,HOWE,18.435091,502.842,22.969,19_2_6_HOWE.png
20,2,6,HOWE,19.293,584.499,21.202,20_2_6_HOWE.png
21,2,6,HOWE,20.21,651.314,19.576,21_2_6_HOWE.png
22,2,6,HOWE,22.390097,688.295,18.243,22_2_6_HOWE.png
23,2,6,HOWE,24.186093,734.138,17.232,23_2_6_HOWE.png
24,2,6,HOWE,26.034102,778.648,15.847,24_2_6_HOWE.png
25,2,6,HOWE,27.322369,864.772,14.953,25_2_6_HOWE.png
10,3,6,HOWE,8.453,288.032,44.264,10_3_6_HOWE.png
11,3,6,HOWE,8.675,305.77,40.57,11_3_6_HOWE.png
12,3,6,HOWE,9.411,320.215,37.152,12_3_6_HOWE.png
13,3,6,HOWE,9.87,340.701,36.162,13_3_6_HOWE.png
14,3,6,HOWE,10.863,351.484,33.23,14_3_6_HOWE.png
15,3,6,HOWE,10.933059,394.96,30.478,15_3_6_HOWE.png
16,3,6,HOWE,11.722,424.19,28.691,16_3_6_HOWE.png
17,3,6,HOWE,12.101258,453.55,26.345,17_3_6_HOWE.png
18,3,6,HOWE,13.176294,477.114,24.48,18_3_6_HOWE.png
19,3,6,HOWE,13.514267,530.273,24.345,19_3_6_HOWE.png
20,3,6,HOWE,14.62368,563.287,22.634,20_3_6_HOWE.png
21,3,6,HOWE,15.300795,601.969,21.636,21_3_6_HOWE.png
22,3,6,HOWE,16.353058,644.769,20.084,22_3_6_HOWE.png
23,3,6,HOWE,17.409596,694.321,19.13,23_3_6_HOWE.png
24,3,6,HOWE,17.578254,767.422,17.908,24_3_6_HOWE.png
25,3,6,HOWE,18.894388,818.951,16.771,25_3_6_HOWE.png
10,4,6,HOWE,9.091,384.212,36.789,10_4_6_HOWE.png
11,4,6,HOWE,8.975,406.643,34.148,11_4_6_HOWE.png
12,4,6,HOWE,9.466,419.459,31.828,12_4_6_HOWE.png
13,4,6,HOWE,10.069,428.749,29.435,13_4_6_HOWE.png
14,4,6,HOWE,10.19,456.014,29.575,14_4_6_HOWE.png
15,4,6,HOWE,10.896041,466.394,27.498,15_4_6_HOWE.png
16,4,6,HOWE,10.926218,498.102,25.428,16_4_6_HOWE.png
17,4,6,HOWE,11.263418,553.89,23.778,17_4_6_HOWE.png
18,4,6,HOWE,11.131449,597.889,22.477,18_4_6_HOWE.png
19,4,6,HOWE,12.020589,611.852,20.98,19_4_6_HOWE.png
20,4,6,HOWE,12.784457,644.056,19.739,20_4_6_HOWE.png
21,4,6,HOWE,13.099929,676.876,20.335,21_4_6_HOWE.png
22,4,6,HOWE,13.916661,710.43,19.137,22_4_6_HOWE.png
23,4,6,HOWE,14.610582,763.887,18.178,23_4_6_HOWE.png
24,4,6,HOWE,14.906479,814.344,17.494,24_4_6_HOWE.png
25,4,6,HOWE,15.897585,842.845,16.922,25_4_6_HOWE.png
10,5,6,HOWE,9.431,515.815,31.146,10_5_6_HOWE.png
